ano,area_plantada_ha,area_colhida_ha,quantidade_produzida_t,rendimento_kg_ha,PRECTOTCORR,T2M,T2M_MAX,T2M_MIN,RH2M,GWETROOT
2015,400.0,400.0,960.0,2400.0,1292.21,22.402684931506847,39.91,9.01,74.52550684931508,0.5899726027397261
2016,500.0,500.0,1200.0,2400.0,1243.65,21.431338797814206,37.37,3.24,76.41232240437158,0.6404918032786886
2017,500.0,500.0,1200.0,2400.0,1252.76,21.70049315068493,37.61,5.39,73.82443835616438,0.6018630136986302
2018,500.0,500.0,1200.0,2400.0,1126.4,22.172630136986303,36.06,5.82,72.08323287671233,0.5698630136986301
2019,1200.0,1200.0,3000.0,2500.0,1056.55,22.77627397260274,39.1,4.43,70.78430136986302,0.5672054794520548
2020,1200.0,1200.0,2880.0,2400.0,945.17,22.513934426229508,42.03,6.12,68.06051912568306,0.5498360655737705
2021,1200.0,1200.0,2880.0,2400.0,810.0699999999999,22.595753424657538,40.24,1.77,63.82224657534246,0.5236986301369864
2022,1200.0,1200.0,2880.0,2400.0,1169.19,21.72868493150685,36.22,4.26,70.6381095890411,0.5611232876712329
2023,1500.0,1500.0,3600.0,2400.0,1107.2,22.494876712328765,41.25,6.09,72.08104109589041,0.5901369863013699
2024,1600.0,1600.0,4800.0,3000.0,945.61,23.897540983606557,40.01,4.59,62.32866120218579,0.5295901639344263
2025,1600.0,1600.0,3840.0,2400.0,633.73,23.08717808219178,38.32,2.68,61.983534246575346,0.5171780821917809
