data,cidade,temperatura_max_c,temperatura_min_c,umidade_pct,pressao_hpa,vento_kmh,precipitacao_mm
2024-04-01,São Paulo,24.9,14.4,70.5,1022.6,2.7,0.0
2024-04-02,São Paulo,20.8,15.0,63.5,1008.8,12.5,0.0
2024-01-11,São Paulo,23.1,7.6,"78,4",1005.8,15.5,0.0
2023-09-02,São Paulo,"32,8",16.5,60.4,1014.1,0.8,17.9
2023-07-12,São Paulo,29.1,19.0,58.6,1010.5,6.9,67.9
2024-12-23,São Paulo,13.4,9.6,68.8,1020.8,3.5,0.0
2024-11-24,São Paulo,15.2,12.1,80.0,1015.0,9.8,0.0
2023-12-25,São Paulo,16.5,9.8,66.7,1012.6,5.8,0.0
2024-04-22,São Paulo,"22,2",19.7,105,1015.8,23.0,21.0
2023-07-06,São Paulo,30.3,20.9,59.1,1012.7,15.6,0.0
2023-09-10,São Paulo,31.3,"19,2",58.2,1023.4,32.7,0.0
2023-05-23,São Paulo,22.9,18.1,62.2,1013.3,6.3,8.7
2023-10-17,São Paulo,23.6,15.5,66.5,1013.9,11.3,0.0
2024-06-14,São Paulo,28.3,"19,5",62.8,1013.7,7.8,0.0
2024-07-11,São Paulo,27.7,23.6,62.9,1014.6,8.8,11.2
2023-09-29,São Paulo,26.4,15.7,58.5,1010.2,25.5,0.0
2024-09-04,São Paulo,24.7,17.3,63.9,1013.4,6.3,
2024-06-15,São Paulo,27.1,20.8,67.1,1010.7,15.4,0.0
2023-08-06,São Paulo,32.6,20.4,58.9,1009.4,4.0,13.2
2023-01-14,São Paulo,20.5,10.2,79.0,1011.2,3.4,0.0
2024-03-13,São Paulo,18.4,11.6,69.0,1013.4,12.5,0.0
, são paulo ,22.9,,65.8,1008.9,9.5,0.0
2024-03-27,São Paulo,22.8,11.9,55.8,1018.8,4.2,0.0
2024-10-25,São Paulo,22.2,10.8,72.9,1012.8,5.0,0.0
2024-05-26,São Paulo,27.2,21.3,73.7,1013.8,,0.0
2024-06-24,São Paulo,"25,9",22.3,63.3,1011.2,16.3,0.0
2023-02-23,São Paulo,18.6,11.1,"79,1",1006.7,15.1,0.0
2024-11-14,São Paulo,19.9,15.0,70.8,1007.7,10.6,21.3
2023-04-09,São Paulo,24.1,9.6,68.9,1017.6,11.5,0.0
2024-03-28,São Paulo,26.4,"14,6",80.2,1012.4,8.7,0.0
2024-10-08,São Paulo,"26,0",15.9,64.1,1013.3,62.8,57.7
2023-09-17,SÃO PAULO,23.8,18.9,56.9,1015.2,21.2,0.0
2024-09-19,São Paulo,29.6,16.4,68.5,1006.8,13.3,0.0
2024-06-28,São Paulo,29.2,"19,8",59.9,,11.6,0.0
2024-08-03,São Paulo,24.4,21.2,72.0,1012.3,5.2,0.0
2024-04-13,São Paulo,26.2,12.9,60.1,1010.2,13.6,0.0
2024-03-23,São Paulo,20.9,13.7,76.5,1015.4,9.5,17.2
2024-12-19,São Paulo,17.8,9.4,"91,7",1020.6,0.8,0.0
2023-10-28,São Paulo,26.5,14.3,68.3,1010.0,13.3,0.0
2024-09-30,São Paulo,26.8,18.0,"69,0",1016.9,18.6,11.5
2024-05-28,São Paulo,27.8,20.2,67.9,1014.6,5.9,
2024-02-17,São Paulo,17.5,"9,8",72.0,1009.4,,0.0
2023-07-11,São Paulo,29.6,20.2,57.7,1015.7,16.5,3.4
2024-11-23,São Paulo,22.3,14.4,77.6,1014.2,10.3,85.9
2023-08-17,São Paulo,27.3,20.0,,1011.9,11.9,17.7
2023-05-21,São Paulo,28.3,"16,0",72.0,1012.9,7.6,0.0
2023-03-03,São Paulo,19.1,12.5,75.8,1017.1,14.6,0.0
2024-03-11,São Paulo,19.2,,78.4,1009.7,9.6,0.0
2023-06-03,São Paulo,"27,3",16.7,65.9,1012.3,2.4,23.4
2024-05-24,São Paulo,28.7,20.4,62.0,1016.3,5.4,10.0
2023-05-08, são paulo ,23.6,13.3,63.6,1014.7,13.2,0.0
2023-02-04,São Paulo,19.7,7.1,"81,3",1015.3,,0.0
2024-08-08,São Paulo,33.9,19.2,63.8,1014.9,5.1,
2023-06-18,São Paulo,28.9,16.6,53.9,1009.0,7.6,11.5
2024-02-16,São Paulo,"13,8","7,1",71.4,1017.7,23.8,0.0
2024-10-09,São Paulo,20.8,"16,0",70.3,1012.3,5.6,
2024-01-24,São Paulo,18.7,8.3,76.0,1016.9,5.1,0.0
2023-05-09,São Paulo,24.9,18.1,57.9,1018.0,2.3,0.0
2023-01-10,São Paulo,16.1,11.8,86.7,,10.2,0.0
2024-05-20,São Paulo,"26,2",17.9,63.8,1014.6,11.6,0.0
2024-03-31,São Paulo,22.8,13.1,78.7,1014.2,7.7,0.0
2024-05-23,São Paulo,26.4,"20,8",62.5,1008.6,9.6,0.0
2023-10-08,São Paulo,25.9,18.3,71.7,1015.3,16.8,5.5
2024-07-21, são paulo ,28.5,17.9,57.2,1010.2,4.9,48.9
2023-04-05,São Paulo,19.1,14.1,"67,6",1022.1,17.3,0.0
2024-05-04,São Paulo,"27,4","16,5",68.3,1017.0,42.9,14.4
2024-01-07,São Paulo,21.0,11.1,,1017.5,11.1,28.0
2023-11-04,São Paulo,24.9,14.8,"90,1",1015.2,11.4,0.0
2024-03-17,São Paulo,21.8,12.4,74.0,1017.6,7.8,0.0
2023-12-03,São Paulo,18.1,12.1,74.0,1010.8,25.2,0.0
2024-07-18,São Paulo,32.0,21.5,63.4,1014.3,12.0,0.0
2024-05-29,São Paulo,29.8,18.5,51.8,1001.6,24.0,0.0
2023-06-29,São Paulo,30.4,18.4,63.5,1012.5,17.2,3.5
2024-01-15,São Paulo,17.0,12.7,80.1,,12.2,0.0
2023-12-01,São Paulo,19.8,11.3,75.2,1011.5,44.4,0.0
2024-07-24,São Paulo,26.8,16.2,"64,1",1016.6,8.8,0.0
2023-04-20,São Paulo,20.6,18.8,68.0,1001.9,12.1,0.0
2023-05-19,São Paulo,,17.6,64.3,1006.8,22.0,5.4
2024-09-02,São Paulo,25.8,19.1,51.4,1009.1,26.0,0.0
2024-08-14,São Paulo,29.8,19.3,78.4,1014.5,5.0,2.2
2024-01-31,São Paulo,18.5,13.4,85.9,1014.2,13.9,0.0
2023-08-18,São Paulo,28.5,"22,1","52,1",,32.7,0.0
2024-03-22,São Paulo,23.9,13.2,71.2,1010.7,19.4,0.0
2023-11-20,São Paulo,22.2,9.7,83.0,1013.0,13.1,0.0
2024-07-17,São Paulo,28.3,20.5,51.2,1015.6,15.3,0.0
2023-08-24,São Paulo,27.3,18.5,76.4,1012.9,15.2,17.1
2023-11-05,Sao Paulo,23.2,14.5,70.7,1014.0,8.9,13.5
2023-03-02,São Paulo,16.1,"9,2",75.6,1003.5,7.4,0.0
2024-11-21,São Paulo,21.1,11.6,70.9,1017.6,12.8,17.8
2024-11-25,São Paulo,"18,3",10.1,"78,5",1013.6,,0.0
2024-12-08,São Paulo,20.4,"8,7","74,3",1010.8,9.4,0.0
2024-09-05,São Paulo,28.8,"16,3",56.0,1019.9,24.4,20.6
2024-01-21,São Paulo,"16,3","12,1",73.2,1018.1,,0.0
2023-08-12,São Paulo,27.0,18.2,64.9,1010.0,8.2,0.0
2024-05-18,São Paulo,23.9,18.3,67.6,1015.0,26.4,0.0
2024-12-02,São Paulo,19.0,9.7,81.2,1010.4,32.0,0.0
2024-11-07,Sao Paulo,26.9,14.2,"75,8",1015.3,25.4,0.0
2023-03-08,São Paulo,19.5,13.8,63.4,1015.2,6.8,0.0
2023-09-28,São Paulo,24.2,15.2,,1008.2,24.7,0.0
2024-12-12,São Paulo,20.5,8.3,71.1,1011.4,8.5,21.6
2023-12-11,sao paulo ,22.6,"11,3","81,1",1006.5,18.3,64.4
2023-11-03,São Paulo,21.4,12.5,67.6,1017.9,18.3,0.0
