time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,relative_humidity_2m_mean,cloud_cover_mean,pressure_msl_mean,precipitation_sum,precipitation_hours,wind_speed_10m_max,shortwave_radiation_sum,sunshine_duration
2015-01-01,31.5,21.8,26.3,72,74,1012.4,0.3,1.0,19.9,29.6,47560.45
2015-01-02,30.9,22.2,25.9,75,65,1012.8,7.8,6.0,20.9,26.71,47593.65
2015-01-03,25.0,21.4,22.8,92,93,1015.6,5.7,11.0,16.3,18.41,34175.66
2015-01-04,25.6,21.2,22.7,89,95,1016.7,20.9,12.0,14.6,16.83,28601.84
2015-01-05,25.1,20.3,22.1,90,92,1017.1,5.9,7.0,14.6,13.23,26341.95
2015-01-06,27.7,20.2,23.0,86,66,1017.4,10.3,8.0,9.8,22.07,44011.99
2015-01-07,30.3,20.2,24.6,78,23,1015.4,7.6,8.0,11.1,26.56,47202.56
2015-01-08,30.1,19.9,25.0,76,21,1015.3,1.5,4.0,9.2,28.29,46958.54
2015-01-09,31.0,21.0,26.1,73,21,1014.3,0.5,1.0,13.8,27.07,46714.01
2015-01-10,31.6,21.6,26.0,76,30,1014.6,1.4,5.0,10.8,27.11,47013.27
2015-01-11,31.9,22.2,26.2,81,47,1014.5,2.4,3.0,11.4,25.98,44111.02
2015-01-12,33.2,22.7,27.1,77,47,1014.3,2.9,2.0,11.5,27.37,45760.39
2015-01-13,29.3,23.4,26.1,83,20,1014.3,3.1,5.0,11.2,25.51,46814.7
2015-01-14,31.4,22.9,26.3,77,59,1014.9,3.3,5.0,7.9,24.66,43651.33
2015-01-15,29.1,21.4,24.8,85,61,1015.8,3.1,6.0,16.5,23.62,45554.75
2015-01-16,29.3,21.3,24.8,82,66,1016.1,0.4,2.0,12.6,27.16,46308.28
2015-01-17,32.4,21.5,26.9,75,39,1013.8,0.0,0.0,8.9,27.93,46459.89
2015-01-18,31.4,22.3,26.7,78,65,1013.9,0.3,1.0,13.8,26.49,46454.79
2015-01-19,32.0,21.1,26.1,77,25,1014.2,0.3,1.0,13.7,28.16,46448.06
2015-01-20,32.1,20.9,25.8,74,27,1012.5,0.0,0.0,16.0,28.42,46439.71
2015-01-21,29.4,20.8,24.1,78,99,1013.9,1.2,4.0,18.7,21.32,36371.76
2015-01-22,25.0,19.4,21.2,86,77,1016.2,3.0,10.0,21.3,21.41,44185.94
2015-01-23,24.2,18.6,20.8,88,76,1016.8,3.2,4.0,18.1,20.48,43347.64
2015-01-24,26.0,18.7,21.8,84,62,1015.0,3.2,6.0,12.2,22.29,44633.64
2015-01-25,28.8,18.4,23.3,78,62,1013.9,2.3,7.0,18.5,25.86,45590.67
2015-01-26,28.2,20.1,23.5,81,99,1014.4,3.5,3.0,16.1,22.35,34386.99
2015-01-27,27.8,20.9,24.1,80,97,1014.8,3.4,8.0,14.6,20.14,35279.77
